TRAMO_ID,CODIGO_ESTACION,NOMBRE_ESTACION,NUCLEO_CERCANIAS,TRAMO_HORARIO,VIAJEROS_SUBIDOS,VIAJEROS_BAJADOS
LOS_PRADOS_1730_1800,54412,LOS PRADOS,MÁLAGA,17:30 - 18:00,2,1.0
LOS_PRADOS_1830_1900,54412,LOS PRADOS,MÁLAGA,18:30 - 19:00,1,0.0
LOS_PRADOS_1900_1930,54412,LOS PRADOS,MÁLAGA,19:00 - 19:30,3,7.0
LOS_PRADOS_1930_2000,54412,LOS PRADOS,MÁLAGA,19:30 - 20:00,4,2.0
LOS_PRADOS_2000_2030,54412,LOS PRADOS,MÁLAGA,20:00 - 20:30,0,3.0
LOS_PRADOS_2030_2100,54412,LOS PRADOS,MÁLAGA,20:30 - 21:00,0,4.0
LOS_PRADOS_2100_2130,54412,LOS PRADOS,MÁLAGA,21:00 - 21:30,5,0.0
LOS_PRADOS_2130_2200,54412,LOS PRADOS,MÁLAGA,21:30 - 22:00,4,0.0
LOS_PRADOS_2200_2230,54412,LOS PRADOS,MÁLAGA,22:00 - 22:30,1,1.0
LOS_PRADOS_2300_2330,54412,LOS PRADOS,MÁLAGA,23:00 - 23:30,0,0.0
MALAGA_MARIA_ZAMBRANO_0000_0030,54413,MALAGA MARIA ZAMBRANO,MÁLAGA,00:00 - 00:30,0,26.0
MALAGA_MARIA_ZAMBRANO_0030_0100,54413,MALAGA MARIA ZAMBRANO,MÁLAGA,00:30 - 01:00,0,11.0
MALAGA_MARIA_ZAMBRANO_0500_0530,54413,MALAGA MARIA ZAMBRANO,MÁLAGA,05:00 - 05:30,12,0.0
MALAGA_MARIA_ZAMBRANO_0530_0600,54413,MALAGA MARIA ZAMBRANO,MÁLAGA,05:30 - 06:00,12,1.0
MALAGA_MARIA_ZAMBRANO_0600_0630,54413,MALAGA MARIA ZAMBRANO,MÁLAGA,06:00 - 06:30,2,0.0
MALAGA_MARIA_ZAMBRANO_0630_0700,54413,MALAGA MARIA ZAMBRANO,MÁLAGA,06:30 - 07:00,44,58.0
MALAGA_MARIA_ZAMBRANO_0700_0730,54413,MALAGA MARIA ZAMBRANO,MÁLAGA,07:00 - 07:30,53,21.0
