OID_,DISTRITO,BARRIO,LATITUD,LONGITUD,Nº_EQUIPOS,CARACTERÍSTICAS_EQUIPO,POTENCIA_MAX,OPERADOR,GESTIÓN
4267,Fuencarral-ElPardo,ElGoloso,40.5453765,-3.6949577655963672,2,DC-CCS Combo 2 (50kW) y CHAdeMO (50kW) - AC- Tipo 2 (22kW),50 kW,UAM,Convenio cesión
4269,Barajas,Corralejos,40.467575977534175,-3.612057772628916,2,DC-CCS Combo 2 (50kW) y CHAdeMO (50kW). AC- Tipo 2 (22kW),50 kW,BLAUDRIVE,Convenio cesión
4270,Usera,Moscardo,40.3872262,-3.7065929,1,DC-CCS Combo 2 (50kW) y CHAdeMO (50kW) AC- Tipo 2 (22kW),50 kW,BLAUDRIVE,Convenio cesión
4275,Latina,Aluche,40.40242503181887,-3.7605311241676658,1,50 kW 2 conectores CC (CCS/Chademo) y 1 conector AC modo 2 Mennekes,50 kW,REPSOL,Convenio cesión
4280,CiudadLineal,SanJuanBautista,40.44958188490243,-3.652918299349679,1,DC-CCS Combo 2 (50kW) y CHAdeMO (50kW) AC- Tipo 2 (22kW),50 kW,ENDESA,Convenio cesión
4281,Salamanca,Castellana,40.4321401,-3.6870755,1,"Conectores: DC- CCS Combo 2, 50 kW y CHAdeMO 50 kW.  Toma: AC- Tipo 2, 22 kW",50 kW,ENDESA,Convenio cesión
4662,VillaDeVallecas,CascoHistoricoDeVallecas,40.35705474843336,-3.6604424289116912,1,180 kW 2 conectores CC (CCS),180 kW,DRIVETHECITY,Iniciativa privada
4663,Fuencarral-ElPardo,ElGoloso,40.5453765,-3.6949577655963672,2,DC-CCS Combo 2 (50kW) y CHAdeMO (50kW) - AC- Tipo 2 (22kW),50 kW,UAM,Convenio cesión
4664,PuenteDeVallecas,SanDiego,40.394076606216686,-3.6662816826699736,1,DC-CCS Combo 2 (50kW) y CHAdeMO (50kW) AC- Tipo 2 (22kW),50 kW,BLAUDRIVE,Convenio cesión
5464,Chamartin,ElViso,40.437927,-3.684589,1,50 kW 2 conectores CC (CCS/Chademo) y 1 conector AC modo 2 Mennekes,50 kW,REPSOL,Convenio cesión
6667,Centro,Sol,40.28570185,-3.747178488756261,12,"4 equipos 400 kW, 4 equipos 200 kW, 4 equipos 50 kW 2 conectores CC (CCS/Chademo) y 1 conector AC modo 2 Mennekes",400 kW,EMT,EMT
6668,Fuencarral-ElPardo,Penagrande,40.47983213981173,-3.7233181545007885,1,50 kW 2 conectores CC (CCS/Chademo) y 1 conector AC modo 2 Mennekes,50 kW,REPSOL,Convenio cesión
6673,Salamanca,Recoletos,40.4205603,-3.6919389,2,50 kW 2 conectores CC (CCS/Chademo) y 1 conector AC modo 2 Mennekes,50 kW,EMT,EMT
