ID,DISTRITO,BARRIO,TIPO_VEHICULO,CLASIFICACION_AMBIENTAL,TIPO_CARBURANTE
10104278510,Latina,ALUCHE,TURISMO,Cero Emisiones,HIBRIDO ENCHUFABLES PHEV
10104980723,Latina,ALUCHE,TURISMO,Cero Emisiones,HIBRIDO ENCHUFABLES PHEV
1010454151,Latina,ALUCHE,TURISMO,Cero Emisiones,ELECTRICO
10104440421,Latina,ALUCHE,TURISMO,Cero Emisiones,ELECTRICO
10104640619,Latina,ALUCHE,TURISMO,Cero Emisiones,HIBRIDO ENCHUFABLES PHEV
10104640058,Latina,ALUCHE,TURISMO,Cero Emisiones,HIBRIDO ENCHUFABLES PHEV
1010482700,Latina,ALUCHE,TURISMO,Cero Emisiones,HIBRIDO ENCHUFABLES PHEV
10104608142,Latina,ALUCHE,TURISMO,Cero Emisiones,ELECTRICO
10104652396,Latina,ALUCHE,TURISMO,Cero Emisiones,HIBRIDO ENCHUFABLES PHEV
993998415,Moncloa - Aravaca,CIUDAD UNIVERSITARIA,TURISMO,Cero Emisiones,ELECTRICO
993276620,Moncloa - Aravaca,CIUDAD UNIVERSITARIA,TURISMO,Cero Emisiones,ELECTRICO
993395735,Moncloa - Aravaca,CIUDAD UNIVERSITARIA,TURISMO,Cero Emisiones,ELECTRICO
993579424,Moncloa - Aravaca,CIUDAD UNIVERSITARIA,TURISMO,Cero Emisiones,ELECTRICO
993404271,Moncloa - Aravaca,CIUDAD UNIVERSITARIA,TURISMO,Cero Emisiones,HIBRIDO ENCHUFABLES PHEV
993369558,Moncloa - Aravaca,CIUDAD UNIVERSITARIA,TURISMO,Cero Emisiones,HIBRIDO ENCHUFABLES PHEV
993517196,Moncloa - Aravaca,CIUDAD UNIVERSITARIA,TURISMO,Cero Emisiones,HIBRIDO ENCHUFABLES PHEV
888445696,Fuencarral - El Pardo,EL GOLOSO,TURISMO,Cero Emisiones,HIBRIDO ENCHUFABLES PHEV
888410586,Fuencarral - El Pardo,EL GOLOSO,TURISMO,Cero Emisiones,ELECTRICO
888742071,Fuencarral - El Pardo,EL GOLOSO,TURISMO,Cero Emisiones,ELECTRICO
888716748,Fuencarral - El Pardo,EL GOLOSO,TURISMO,Cero Emisiones,ELECTRICO
888821541,Fuencarral - El Pardo,EL GOLOSO,TURISMO,Cero Emisiones,HIBRIDO ENCHUFABLES PHEV
888308696,Fuencarral - El Pardo,EL GOLOSO,TURISMO,Cero Emisiones,ELECTRICOS RANGO EXTENDIDO
888416897,Fuencarral - El Pardo,EL GOLOSO,TURISMO,Cero Emisiones,ELECTRICO
888743118,Fuencarral - El Pardo,EL GOLOSO,TURISMO,Cero Emisiones,HIBRIDO ENCHUFABLES PHEV
88867097,Fuencarral - El Pardo,EL GOLOSO,TURISMO,Cero Emisiones,HIBRIDO ENCHUFABLES PHEV
993182889,Moncloa - Aravaca,CIUDAD UNIVERSITARIA,TURISMO,Cero Emisiones,HIBRIDO ENCHUFABLES PHEV
99334993,Moncloa - Aravaca,CIUDAD UNIVERSITARIA,TURISMO,Cero Emisiones,ELECTRICO
993545536,Moncloa - Aravaca,CIUDAD UNIVERSITARIA,TURISMO,Etiqueta C,HIBRIDO ENCHUFABLES PHEV
554988233,Chamartin,HISPANOAMERICA,TURISMO,Cero Emisiones,HIBRIDO ENCHUFABLES PHEV
