tipo_establecimiento,tipo_titularidad,direccion_completa,municipio_nombre,direccion_via_codigo,direccion_via_nombre,direccion_portal_numero,direccion_codigo_postal,direccion_coordenada_x,direccion_coordenada_y,codigo_dea
Otros,Privada,"Parla, Calle, Planeta Urano, 15-17, 28983",Parla,Calle,Planeta Urano,15-17,28983,435380,4452643,"2018-458"
Centro educativo,Privada,"Madrid, Calle, del Apóstol Santiago, 72, 28017",Madrid,Calle,del Apóstol Santiago,72,28017,444488,4475565,"2018-2758"
Centro de trabajo con más de 250 trabajadores,Privada,"Madrid, Calle, de Aragón, 28002",Madrid,Calle,de Aragón,,28002,453349,4477514,"2018-862"
Establecimiento hotelero con más de 100 plazas,Privada,"Madrid, Avda, de Aragón, 400, 28022",Madrid,Avda,de Aragón,400,28022,452632,4477753,"2018-1191"
Establecimiento hotelero con más de 100 plazas,Privada,"Madrid, Avda, de Aragón, 400, 28022",Madrid,Avda,de Aragón,400,28022,452632,4477753,"2018-1211"
Establecimiento hotelero con más de 100 plazas,Privada,"Madrid, Avda, de Aragón, 400, 28022",Madrid,Avda,de Aragón,400,28022,452632,4477753,"2018-1190"
Otros,Privada,"Madrid, Avda, de Aragón, 328, 28022",Madrid,Avda,de Aragón,328,28022,450424,4477802,"2018-1283"
Establecimiento hotelero con más de 100 plazas,Privada,"Madrid, Avda, de Aragón, 402, 28022",Madrid,Avda,de Aragón,402,28022,453964,4477560,"2019-2963"
Centro de trabajo con más de 250 trabajadores,Privada,"Madrid, Avda, de Aragón, 402, 28022",Madrid,Avda,de Aragón,402,28022,453347,4477659,"2022-397"
Otros,Privada,"Madrid, Avda, de Aragón, 330, 28022",Madrid,Avda,de Aragón,330,28022,450735,4477785,"2022-1438"
Establecimiento hotelero con más de 100 plazas,Privada,"Madrid, Avda, de Aragón, 402, 28022",Madrid,Avda,de Aragón,402,28022,453346,4477658,"2023-145"
Centro de trabajo con más de 250 trabajadores,Privada,"Madrid, Avda, de Aragón, 402, 28022",Madrid,Avda,de Aragón,402,28022,453345,4477660,"2023-377"
Establecimiento hotelero con más de 100 plazas,Privada,"Madrid, Avda, de Aragón, 332, 28022",Madrid,Avda,de Aragón,332,28022,451045,4477754,"2023-954"
Centro de trabajo con más de 250 trabajadores,Privada,"Madrid, Calle, de Arapiles, 14, 28015",Madrid,Calle,de Arapiles,14,28015,439949,4476049,"2018-1120"
Centro de trabajo con más de 250 trabajadores,Privada,"Madrid, Calle, de Arapiles, 13, 28015",Madrid,Calle,de Arapiles,13,28015,440070,4476025,"2018-1121"
Grandes establecimientos comerciales con una superficie superior a 2500 m2,Privada,"Madrid, Calle, de Arapiles, 10, 28015",Madrid,Calle,de Arapiles,10,28015,440088,4476071,"2019-84"
Otros,Privada,"Madrid, Calle, de Arapiles, 11, 28015",Madrid,Calle,de Arapiles,11,28015,440122,4476034,"2024-652"
Centro educativo,Privada,"Madrid, Calle, de Aravaca, 12, 28040",Madrid,Calle,de Aravaca,12,28040,439590,4477736,"2024-357"
Otros,Privada,"Madrid, Calle, de la Arboleda, S/N, 28031",Madrid,Calle,de la Arboleda,S/N,28031,446802,4471032,"2018-1141"
Otros,Privada,"Madrid, Calle, de la Arboleda, 18, 28031",Madrid,Calle,de la Arboleda,18,28031,446854,4470925,"2018-1452"
Centro educativo,Privada,"Madrid, Calle, de Arcadia, 5, 28042",Madrid,Calle,de Arcadia,5,28042,450412,4480455,"2019-2394"
Instalaciones de transporte,Pública,"Madrid, Avda, de Arcentales, 0, 28022",Madrid,Avda,de Arcentales,0,28022,449022,4476085,"2018-3144"
Instalaciones de transporte,Pública,"Madrid, Calle, del Arcipreste de Hita, 13, 28015",Madrid,Calle,del Arcipreste de Hita,13,28015,439120,4476137,"2018-2857"
Establecimiento hotelero con más de 100 plazas,Privada,"Madrid, Calle, del Arcipreste de Hita, 10, 28015",Madrid,Calle,del Arcipreste de Hita,10,28015,439145,4476148,"2019-935"
Establecimiento dependiente de una Administración Pública,Pública,"Madrid, Calle, de Arcos de Jalón, 59, 28037",Madrid,Calle,de Arcos de Jalón,59,28037,448142,4475535,"2022-311"
Establecimiento hotelero con más de 100 plazas,Privada,"Madrid, Calle, del Arenal, 15, 28013",Madrid,Calle,del Arenal,15,28013,439979,4474326,"2018-3000"
Establecimiento hotelero con más de 100 plazas,Privada,"Madrid, Calle, del Arenal, 2, 28013",Madrid,Calle,del Arenal,2,28013,440200,4474274,"2019-880"
Establecimiento dependiente de una Administración Pública,Pública,"Madrid, Calle, del Arenal, 18, 28013",Madrid,Calle,del Arenal,18,28013,440033,4474329,"2020-774"
Centro educativo,Privada,"Madrid, Calle, del Arga, 19, 28002",Madrid,Calle,del Arga,19,28002,465576,4457316,"2019-357"
Centros residenciales de mayores con 200 plazas,Pública,"Madrid, Calle, de Arganda, 9, 28005",Madrid,Calle,de Arganda,9,28005,440070,4472504,"2018-2560"
Establecimiento dependiente de una Administración Pública,Pública,"Madrid, Calle, de Arganda, 25, 28005",Madrid,Calle,de Arganda,25,28005,440166,4472341,"2022-282"
Centro educativo,Privada,"Madrid, Calle, de la Argenta, 4, 28037",Madrid,Calle,de la Argenta,4,28037,447771,4474807,"2018-516"
Centro educativo,Pública,"Madrid, Calle, de Argumosa, 3, 28012",Madrid,Calle,de Argumosa,3,28012,440561,4473337,"2018-1913"
Instalaciones de transporte,Pública,"Madrid, Calle, de Argumosa, 1, 28012",Madrid,Calle,de Argumosa,1,28012,440544,4473328,"2018-2936"
Centro educativo,Privada,"Madrid, Calle, del Tordo, 15, 28019",Madrid,Calle,del Tordo,15,28019,437716,4471529,"2019-2756"
Otros,Privada,"Madrid, Calle, de Torquemada, 28, 28043",Madrid,Calle,de Torquemada,28,28043,445926,4479862,"2024-779"
Centro educativo,Pública,"Madrid, Calle, de Torregalindo, 10, 28016",Madrid,Calle,de Torregalindo,10,28016,443287,4479223,"2018-1707"
Centro educativo,Pública,"Madrid, Calle, de Torregalindo, 10, 28016",Madrid,Calle,de Torregalindo,10,28016,443287,4479224,"2021-114"
Centro de trabajo con más de 250 trabajadores,Privada,"Madrid, Calle, de Torrelaguna, 79, 28043",Madrid,Calle,de Torrelaguna,79,28043,444296,4477663,"2017-154"
Centro de trabajo con más de 250 trabajadores,Privada,"Madrid, Calle, de Torrelaguna, 77, 28043",Madrid,Calle,de Torrelaguna,77,28043,444321,4477550,"2018-3027"
Centro de trabajo con más de 250 trabajadores,Privada,"Madrid, Calle, de Torrelaguna, 75, 28027",Madrid,Calle,de Torrelaguna,75,28027,444384,4477405,"2023-547"
Centro de trabajo con más de 250 trabajadores,Privada,"Madrid, Calle, de Torrelaguna, 75, 28027",Madrid,Calle,de Torrelaguna,75,28027,444384,4477405,"2023-546"
Centro de trabajo con más de 250 trabajadores,Privada,"Madrid, Calle, de Torrelaguna, 75, 28027",Madrid,Calle,de Torrelaguna,75,28027,444384,4477405,"2023-545"
Otros,Privada,"Madrid, Calle, de Torrelaguna, 77, 28043",Madrid,Calle,de Torrelaguna,77,28043,444430,4477758,"2023-339"
Otros,Privada,"Madrid, Calle, de Torrelaguna, 60, 28043",Madrid,Calle,de Torrelaguna,60,28043,444384,4477554,"2023-977"
Otros,Privada,"Madrid, Calle, de Torrelaguna, 60, 28043",Madrid,Calle,de Torrelaguna,60,28043,444384,4477554,"2023-975"
Otros,Privada,"Madrid, Calle, de Torrelaguna, 60, 28043",Madrid,Calle,de Torrelaguna,60,28043,444384,4477554,"2023-971"
Otros,Privada,"Madrid, Calle, de Torrelaguna, 60, 28043",Madrid,Calle,de Torrelaguna,60,28043,444384,4477554,"2023-972"
Establecimiento hotelero con más de 100 plazas,Privada,"Madrid, Calle, de Torrelaguna, 69, 28027",Madrid,Calle,de Torrelaguna,69,28027,444457,4477274,"2024-686"
Otros,Privada,"Madrid, Calle, de Torrelaguna, 60, 28043",Madrid,Calle,de Torrelaguna,60,28043,444384,4477553,"2024-581"
Instalaciones de transporte,Pública,"Madrid, Calle, Transversal Sexta, 0, 28021",Madrid,Calle,Transversal Sexta,0,28021,440651,4464830,"2019-2879"
Otros,Privada,"Madrid, Plaza, de los Tres Olivos, 1, 28034",Madrid,Plaza,de los Tres Olivos,1,28034,441477,4483568,"2024-513"
Establecimiento dependiente de una Administración Pública,Pública,"Madrid, Calle, de Treviana, 1, 28043",Madrid,Calle,de Treviana,1,28043,444127,4477702,"2022-284"
Otros,Privada,"Madrid, Calle, de las Sicelidas, 10, 28043",Madrid,Calle,de las Sicelidas,10,28043,445929,4479395,"2023-403"
Otros,Privada,"Madrid, Calle, de Siena, 10, 28027",Madrid,Calle,de Siena,10,28027,444340,4475973,"2023-250"
Otros,Privada,"Madrid, Calle, de Siena, 78, 28027",Madrid,Calle,de Siena,78,28027,444943,4476078,"2023-889"
Establecimiento dependiente de una Administración Pública,Pública,"Madrid, Ctra, de la Sierra, 0, 28048",Madrid,Ctra,de la Sierra,0,28048,433578,4487876,"2021-130"
Otros,Privada,"Madrid, Calle, de Sierra Carbonera, 70, 28053",Madrid,Calle,de Sierra Carbonera,70,28053,443281,4471515,"2019-477"
Centro de trabajo con más de 250 trabajadores,Privada,"Madrid, Calle, de Sierra Nevada, 16, 28018",Madrid,Calle,de Sierra Nevada,16,28018,457509,4477972,"2018-1117"
"Instalación, centro o complejo deportivo con más de 500 usuarios diarios",Privada,"Parla, Avda, de los Planetas, 42, 28983",Parla,Avda,de los Planetas,42,28983,435552,4452770,"2018-1413"
Centro educativo,Privada,"Parla, Avda, de las Estrellas, 45, 28983",Parla,Avda,de las Estrellas,45,28983,435838,4453175,"2018-3026"
Establecimiento dependiente de una Administración Pública,Pública,"Rivas-Vaciamadrid, Plaza, 19 de Abril, 0, 28521",Rivas-Vaciamadrid,Plaza,19 de Abril,0,28521,455966,4464231,"2019-807"
Establecimiento dependiente de una Administración Pública,Pública,"Rivas-Vaciamadrid, Plaza, 19 de Abril, s/n, 28521",Rivas-Vaciamadrid,Plaza,19 de Abril,s/n,28521,455966,4464231,"2023-628"
Centro educativo,Pública,"Rivas-Vaciamadrid, Calle, del Alcalde Francisco Santero, 4, 28521",Rivas-Vaciamadrid,Calle,del Alcalde Francisco Santero,4,28521,455994,4464284,"2019-591"
Establecimiento dependiente de una Administración Pública,Pública,"Rivas-Vaciamadrid, Calle, del Alcalde Francisco Santero, s/n, 28521",Rivas-Vaciamadrid,Calle,del Alcalde Francisco Santero,s/n,28521,455998,4464293,"2023-650"
Establecimiento dependiente de una Administración Pública,Pública,"Rivas-Vaciamadrid, Avda, Cerro del Telégrafo, 1, 28522",Rivas-Vaciamadrid,Avda,Cerro del Telégrafo,1,28522,455257,4467659,"2020-319"
Establecimiento dependiente de una Administración Pública,Pública,"Rivas-Vaciamadrid, Calle, Jovellanos, 30, 28521",Rivas-Vaciamadrid,Calle,Jovellanos,30,28521,455273,4466676,"2019-538"
Establecimiento dependiente de una Administración Pública,Pública,"Rivas-Vaciamadrid, Calle, Jovellanos, 30, 28522",Rivas-Vaciamadrid,Calle,Jovellanos,30,28522,455293,4466685,"2023-625"
Otros,Privada,"Madrid, Cmno, de la Fuente de la Mora, 1, 28050",Madrid,Cmno,de la Fuente de la Mora,1,28050,443463,4481957,"2023-331"
Otros,Privada,"Madrid, Cmno, de la Fuente de la Mora, 1, 28050",Madrid,Cmno,de la Fuente de la Mora,1,28050,443463,4481957,"2023-332"
Otros,Privada,"Madrid, Cmno, de la Fuente de la Mora, 1, 28050",Madrid,Cmno,de la Fuente de la Mora,1,28050,443463,4481957,"2023-333"
Centro de trabajo con más de 250 trabajadores,Privada,"Madrid, Cmno, de la Fuente de la Mora, 1, 28050",Madrid,Cmno,de la Fuente de la Mora,1,28050,443463,4481957,"2023-334"
Otros,Privada,"Madrid, Avda, de Fuente de la Mora, 10, 28050",Madrid,Avda,de Fuente de la Mora,10,28050,443949,4481860,"2018-3167"
Centro educativo,Pública,"Madrid, Calle, de la Fuente de Lima, 22, 28024",Madrid,Calle,de la Fuente de Lima,22,28024,433613,4470565,"2018-1909"
Instalaciones de transporte,Pública,"Madrid, Calle, de la Fuente de Lima, 2, 28024",Madrid,Calle,de la Fuente de Lima,2,28024,433467,4470637,"2018-3055"
Centro educativo,Pública,"Madrid, Calle, de la Fuente de Piedra, 10, 28018",Madrid,Calle,de la Fuente de Piedra,10,28018,445639,4470403,"2024-524"
Establecimiento público con aforo igual o superior a 2000 personas,Privada,"Madrid, Calle, de la Fuente del Berro, 28009",Madrid,Calle,de la Fuente del Berro,,28009,443062,4475026,"2018-1225"
Grandes establecimientos comerciales con una superficie superior a 2500 m2,Privada,"Madrid, Calle, de la Fuente del Berro, 14, 28009",Madrid,Calle,de la Fuente del Berro,14,28009,443078,4475243,"2020-683"
Centro educativo,Privada,"Madrid, Calle, de Martín de los Heros, 60, 28008",Madrid,Calle,de Martín de los Heros,60,28008,439171,4475585,"2018-1041"
Otros,Privada,"Madrid, Calle, de Martín de los Heros, 60, 28008",Madrid,Calle,de Martín de los Heros,60,28008,439178,4475592,"2018-1475"
Otros,Privada,"Madrid, Calle, de Martín de los Heros, 12, 28008",Madrid,Calle,de Martín de los Heros,12,28008,439488,4475111,"2018-2844"
Centro educativo,Privada,"Madrid, Calle, de Martín de Vargas, 17, 28005",Madrid,Calle,de Martín de Vargas,17,28005,440452,4472714,"2019-187"
Centro educativo,Pública,"Madrid, Calle, de Martín Fierro, 7, 28040",Madrid,Calle,de Martín Fierro,7,28040,437860,4476643,"2020-608"
Centro educativo,Privada,"Madrid, Calle, de Martínez de la Riva, 127, 28018",Madrid,Calle,de Martínez de la Riva,127,28018,443620,4470837,"2019-306"
Centro de trabajo con más de 250 trabajadores,Privada,"Madrid, Calle, de Martínez Villergas, 49, 28027",Madrid,Calle,de Martínez Villergas,49,28027,444205,4477246,"2017-432"
Centro de trabajo con más de 250 trabajadores,Privada,"Madrid, Calle, de Martínez Villergas, 49, 28027",Madrid,Calle,de Martínez Villergas,49,28027,444247,4477342,"2018-2595"
Centro de trabajo con más de 250 trabajadores,Privada,"Madrid, Calle, de Martínez Villergas, 49, 28027",Madrid,Calle,de Martínez Villergas,49,28027,444249,4477341,"2018-2712"
Instalaciones de transporte,Pública,"Madrid, Calle, de Martínez Villergas, 1, 28027",Madrid,Calle,de Martínez Villergas,1,28027,454712,4476715,"2018-3178"
Otros,Privada,"Madrid, Calle, de Martínez Villergas, 52, 28027",Madrid,Calle,de Martínez Villergas,52,28027,444289,4477358,"2022-619"
Otros,Privada,"Madrid, Calle, de Martínez Villergas, 6, 28027",Madrid,Calle,de Martínez Villergas,6,28027,444669,4478508,"2021-125"
Centro educativo,Privada,"Madrid, Calle, de los Mártires de la Ventilla, 34, 28029",Madrid,Calle,de los Mártires de la Ventilla,34,28029,441394,4480302,"2019-2096"
Establecimiento dependiente de una Administración Pública,Pública,"Madrid, Calle, de Matapozuelos, 2, 28043",Madrid,Calle,de Matapozuelos,2,28043,467186,4458237,"2019-681"
Centro educativo,Privada,"Madrid, Calle, de Mateo Inurria, 25-27, 28036",Madrid,Calle,de Mateo Inurria,25-27,28036,442154,4479879,"2018-1615"
Centro educativo,Privada,"Madrid, Calle, de Mateo Inurria, 20, 28036",Madrid,Calle,de Mateo Inurria,20,28036,442037,4479825,"2019-726"
Centro educativo,Privada,"Madrid, Calle, de Mateo Inurria, 37, 28036",Madrid,Calle,de Mateo Inurria,37,28036,442331,4479892,"2022-136"
Instalaciones de transporte,Pública,"Madrid, Calle, de Mateo Inurria, 36, 28036",Madrid,Calle,de Mateo Inurria,36,28036,442408,4479871,"2021-311"
Centro de trabajo con más de 250 trabajadores,Privada,"Madrid, Calle, de Mateo Inurria, 30, 28036",Madrid,Calle,de Mateo Inurria,30,28036,442196,4479828,"2023-725"
Otros,Privada,"Madrid, Calle, de Arminza, 2, 28023",Madrid,Calle,de Arminza,2,28023,431948,4480135,"2024-719"
Centro educativo,Privada,"Madrid, Calle, de la Armonía, 22, 28042",Madrid,Calle,de la Armonía,22,28042,448150,4478260,"2019-2788"
Otros,Privada,"Madrid, Calle, de la Arquitectura, 20, 28005",Madrid,Calle,de la Arquitectura,20,28005,440427,4472311,"2019-212"
Otros,Privada,"Madrid, Calle, de Arrastaria, 21, 28022",Madrid,Calle,de Arrastaria,21,28022,450336,4477209,"2019-2636"
Grandes establecimientos comerciales con una superficie superior a 2500 m2,Privada,"Madrid, Calle, de Arrastaria, 20, 28022",Madrid,Calle,de Arrastaria,20,28022,450278,4477422,"2024-737"
Instalaciones de transporte,Pública,"Madrid, Calle, de Arriaga, 75, 28017",Madrid,Calle,de Arriaga,75,28017,445793,4474973,"2024-195"
Otros,Privada,"Madrid, Calle, de Arriaga, 3, 28017",Madrid,Calle,de Arriaga,3,28017,445209,4475429,"2024-240"
Otros,Privada,"Madrid, Calle, de Arriaza, 6, 28008",Madrid,Calle,de Arriaza,6,28008,439277,4474741,"2022-1451"
Establecimiento dependiente de una Administración Pública,Pública,"Madrid, Calle, del Arroyo del Olivar, 106, 28018",Madrid,Calle,del Arroyo del Olivar,106,28018,444145,4471267,"2018-785"
Centro educativo,Privada,"Madrid, Calle, de Arroyofresno, 1, 28035",Madrid,Calle,de Arroyofresno,1,28035,436459,4480319,"2018-1769"
Establecimiento hotelero con más de 100 plazas,Privada,"Madrid, Calle, de Arroyofresno, 17, 28035",Madrid,Calle,de Arroyofresno,17,28035,437035,4480760,"2019-485"
Otros,Privada,"Cobeña, Calle, Papel, 0, 28863",Cobeña,Calle,Papel,0,28863,457581,4490069,"2023-18"
Otros,Privada,"Rozas de Madrid, Las, Calle, Playa de las Américas, 28, 28290","Rozas de Madrid, Las",Calle,Playa de las Américas,28,28290,423843,4488278,"2023-866"
Establecimiento dependiente de una Administración Pública,Pública,"Rozas de Madrid, Las, Avda, Polideportivo, 18, 28231","Rozas de Madrid, Las",Avda,Polideportivo,18,28231,425652,4483092,"2020-703"
Establecimiento dependiente de una Administración Pública,Pública,"Rozas de Madrid, Las, Calle, Principado de Asturias, 28, 28231","Rozas de Madrid, Las",Calle,Principado de Asturias,28,28231,425630,4482450,"2019-291"
Centro educativo,Privada,"Rozas de Madrid, Las, Calle, Sierra Morena, 41, 28290","Rozas de Madrid, Las",Calle,Sierra Morena,41,28290,423546,4489251,"2022-1418"
"Instalación, centro o complejo deportivo con más de 500 usuarios diarios",Privada,"Rozas de Madrid, Las, Calle, Dublín, 5, 28232","Rozas de Madrid, Las",Calle,Dublín,5,28232,424415,4483674,"2021-917"
Centro de trabajo con más de 250 trabajadores,Privada,"Torrejón de Ardoz, Ctra, Loeches, 9, 28850",Torrejón de Ardoz,Ctra,Loeches,9,28850,459916,4478151,"2019-78"
Centro de trabajo con más de 250 trabajadores,Privada,"Torrejón de Ardoz, Ctra, Loeches, 9, 28850",Torrejón de Ardoz,Ctra,Loeches,9,28850,459916,4478151,"2019-87"
Otros,Privada,"Torrejón de Ardoz, Ctra, Loeches, 9, 28850",Torrejón de Ardoz,Ctra,Loeches,9,28850,460705,4476983,"2023-303"
Otros,Privada,"Torrejón de Ardoz, Ctra, Loeches, 9, 28850",Torrejón de Ardoz,Ctra,Loeches,9,28850,460690,4476973,"2023-307"
Grandes establecimientos comerciales con una superficie superior a 2500 m2,Privada,"Torrejón de Ardoz, Ctra, Loeches, 0, 28850",Torrejón de Ardoz,Ctra,Loeches,0,28850,460061,4477840,"2023-567"
Otros,Pública,"Torrejón de Ardoz, Ctra, Loeches, 43, 28850",Torrejón de Ardoz,Ctra,Loeches,43,28850,460177,4477738,"2023-687"
Otros,Pública,"Torrejón de Ardoz, Calle, Madrid, 36, 28850",Torrejón de Ardoz,Calle,Madrid,36,28850,459596,4479265,"2023-691"
Establecimiento dependiente de una Administración Pública,Pública,"Torrejón de Ardoz, Calle, Madrid, 5, 28850",Torrejón de Ardoz,Calle,Madrid,5,28850,459416,4479299,"2024-336"
Otros,Privada,"Torrejón de Ardoz, Calle, Río Guadiana, 2, 28850",Torrejón de Ardoz,Calle,Río Guadiana,2,28850,460418,4478820,"2024-440"
Otros,Privada,"Torrejón de Ardoz, Calle, Río Guadiana, 2, 28850",Torrejón de Ardoz,Calle,Río Guadiana,2,28850,460419,4478838,"2024-441"
Otros,Privada,"Torrejón de Ardoz, Calle, Río Guadiana, 7, 28850",Torrejón de Ardoz,Calle,Río Guadiana,7,28850,460337,4478923,"2024-840"
Otros,Pública,"Torrejón de Ardoz, Avda, de los Fresnos, 11, 28850",Torrejón de Ardoz,Avda,de los Fresnos,11,28850,460056,4477297,"2023-692"
Otros,Privada,"Torrejón de Ardoz, Calle, Pedro Rodríguez de Campomanes, 5, 28850",Torrejón de Ardoz,Calle,Pedro Rodríguez de Campomanes,5,28850,459086,4479316,"2019-917"
Establecimiento dependiente de una Administración Pública,Pública,"Torrejón de Ardoz, Calle, Pedro Rodríguez de Campomanes, 2, 28850",Torrejón de Ardoz,Calle,Pedro Rodríguez de Campomanes,2,28850,459015,4479302,"2024-332"
Establecimiento dependiente de una Administración Pública,Pública,"Villaviciosa de Odón, Avda, Príncipe de Asturias, 163, 28670",Villaviciosa de Odón,Avda,Príncipe de Asturias,163,28670,423193,4467774,"2019-2464"
Otros,Privada,"Leganés, Calle, Planck, 6, 28914",Leganés,Calle,Planck,6,28914,431997,4462338,"2022-152"
Establecimiento dependiente de una Administración Pública,Pública,"Madrid, Calle, de Maudes, 17, 28003",Madrid,Calle,de Maudes,17,28003,440544,4477443,"2017-293"
Establecimiento dependiente de una Administración Pública,Pública,"Madrid, Calle, de Maudes, 26, 28003",Madrid,Calle,de Maudes,26,28003,440620,4477399,"2022-1015"
Otros,Pública,"Madrid, Calle, de Mauricio Legendre, 42, 28046",Madrid,Calle,de Mauricio Legendre,42,28046,442158,4481299,"2020-515"
Otros,Pública,"Madrid, Calle, de Mauricio Legendre, 42, 28046",Madrid,Calle,de Mauricio Legendre,42,28046,442158,4481299,"2020-516"
Otros,Pública,"Madrid, Calle, de Mauricio Legendre, 42, 28046",Madrid,Calle,de Mauricio Legendre,42,28046,442158,4481299,"2020-517"
Otros,Pública,"Madrid, Calle, de Mauricio Legendre, 42, 28046",Madrid,Calle,de Mauricio Legendre,42,28046,442158,4481299,"2020-518"
Otros,Pública,"Madrid, Calle, de Mauricio Legendre, 42, 28046",Madrid,Calle,de Mauricio Legendre,42,28046,442158,4481299,"2020-514"
Otros,Pública,"Madrid, Calle, de Mauricio Legendre, 42, 28046",Madrid,Calle,de Mauricio Legendre,42,28046,442158,4481299,"2020-427"
Otros,Pública,"Madrid, Calle, de Mauricio Legendre, 42, 28046",Madrid,Calle,de Mauricio Legendre,42,28046,442158,4481299,"2020-464"
Otros,Pública,"Madrid, Calle, de Mauricio Legendre, 42, 28046",Madrid,Calle,de Mauricio Legendre,42,28046,442158,4481299,"2020-465"
Otros,Pública,"Madrid, Calle, de Mauricio Legendre, 42, 28046",Madrid,Calle,de Mauricio Legendre,42,28046,442158,4481299,"2020-435"
Otros,Pública,"Madrid, Calle, de Mauricio Legendre, 42, 28046",Madrid,Calle,de Mauricio Legendre,42,28046,442158,4481299,"2020-436"
Otros,Pública,"Madrid, Calle, de Mauricio Legendre, 42, 28046",Madrid,Calle,de Mauricio Legendre,42,28046,442158,4481299,"2020-437"
Otros,Pública,"Madrid, Calle, de Mauricio Legendre, 42, 28046",Madrid,Calle,de Mauricio Legendre,42,28046,442158,4481299,"2020-438"
Otros,Pública,"Madrid, Calle, de Mauricio Legendre, 42, 28046",Madrid,Calle,de Mauricio Legendre,42,28046,442158,4481299,"2020-439"
Otros,Pública,"Madrid, Calle, de Mauricio Legendre, 42, 28046",Madrid,Calle,de Mauricio Legendre,42,28046,442158,4481299,"2020-440"
Otros,Pública,"Madrid, Calle, de Mauricio Legendre, 42, 28046",Madrid,Calle,de Mauricio Legendre,42,28046,442158,4481299,"2020-441"
Otros,Pública,"Madrid, Calle, de Mauricio Legendre, 42, 28046",Madrid,Calle,de Mauricio Legendre,42,28046,442158,4481299,"2020-442"
Otros,Pública,"Madrid, Calle, de Mauricio Legendre, 42, 28046",Madrid,Calle,de Mauricio Legendre,42,28046,442158,4481299,"2020-443"
Otros,Pública,"Madrid, Calle, de Mauricio Legendre, 42, 28046",Madrid,Calle,de Mauricio Legendre,42,28046,442158,4481299,"2020-444"
Otros,Pública,"Madrid, Calle, de Mauricio Legendre, 42, 28046",Madrid,Calle,de Mauricio Legendre,42,28046,442158,4481299,"2020-461"
Otros,Pública,"Madrid, Calle, de Mauricio Legendre, 42, 28046",Madrid,Calle,de Mauricio Legendre,42,28046,442158,4481299,"2020-462"
Otros,Pública,"Madrid, Calle, de Mauricio Legendre, 42, 28046",Madrid,Calle,de Mauricio Legendre,42,28046,442158,4481299,"2020-463"
Otros,Pública,"Madrid, Calle, de Mauricio Legendre, 42, 28046",Madrid,Calle,de Mauricio Legendre,42,28046,442158,4481299,"2020-527"
Otros,Pública,"Madrid, Calle, de Mauricio Legendre, 42, 28046",Madrid,Calle,de Mauricio Legendre,42,28046,442158,4481299,"2020-544"
Otros,Pública,"Madrid, Calle, de Mauricio Legendre, 42, 28046",Madrid,Calle,de Mauricio Legendre,42,28046,442158,4481299,"2020-545"
Otros,Pública,"Madrid, Calle, de Mauricio Legendre, 42, 28046",Madrid,Calle,de Mauricio Legendre,42,28046,442158,4481299,"2020-550"
Otros,Pública,"Madrid, Calle, de Mauricio Legendre, 42, 28046",Madrid,Calle,de Mauricio Legendre,42,28046,442158,4481299,"2020-450"
Otros,Pública,"Madrid, Calle, de Mauricio Legendre, 42, 28046",Madrid,Calle,de Mauricio Legendre,42,28046,442158,4481299,"2020-452"
Otros,Pública,"Madrid, Calle, de Mauricio Legendre, 42, 28046",Madrid,Calle,de Mauricio Legendre,42,28046,442158,4481299,"2020-449"
Otros,Pública,"Madrid, Calle, de Mauricio Legendre, 42, 28046",Madrid,Calle,de Mauricio Legendre,42,28046,442158,4481299,"2020-457"
Otros,Pública,"Madrid, Calle, de Mauricio Legendre, 42, 28046",Madrid,Calle,de Mauricio Legendre,42,28046,442158,4481299,"2020-458"
Otros,Pública,"Madrid, Calle, de Mauricio Legendre, 42, 28046",Madrid,Calle,de Mauricio Legendre,42,28046,442158,4481299,"2020-471"
Otros,Pública,"Madrid, Calle, de Mauricio Legendre, 42, 28046",Madrid,Calle,de Mauricio Legendre,42,28046,442158,4481299,"2020-473"
Otros,Pública,"Madrid, Calle, de Mauricio Legendre, 42, 28046",Madrid,Calle,de Mauricio Legendre,42,28046,442158,4481299,"2020-492"
Otros,Pública,"Madrid, Calle, de Mauricio Legendre, 42, 28046",Madrid,Calle,de Mauricio Legendre,42,28046,442158,4481299,"2020-493"
Otros,Pública,"Madrid, Calle, de Mauricio Legendre, 42, 28046",Madrid,Calle,de Mauricio Legendre,42,28046,442158,4481299,"2020-494"
Otros,Pública,"Madrid, Calle, de Mauricio Legendre, 42, 28046",Madrid,Calle,de Mauricio Legendre,42,28046,442158,4481299,"2020-495"
Otros,Pública,"Madrid, Calle, de Mauricio Legendre, 42, 28046",Madrid,Calle,de Mauricio Legendre,42,28046,442158,4481299,"2020-496"
Otros,Pública,"Madrid, Calle, de Mauricio Legendre, 42, 28046",Madrid,Calle,de Mauricio Legendre,42,28046,442158,4481299,"2020-497"
Otros,Pública,"Madrid, Calle, de Mauricio Legendre, 42, 28046",Madrid,Calle,de Mauricio Legendre,42,28046,442158,4481299,"2020-498"
Otros,Pública,"Madrid, Calle, de Mauricio Legendre, 42, 28046",Madrid,Calle,de Mauricio Legendre,42,28046,442158,4481299,"2020-553"
Otros,Pública,"Madrid, Calle, de Mauricio Legendre, 42, 28046",Madrid,Calle,de Mauricio Legendre,42,28046,442158,4481299,"2020-554"
