tipo_establecimiento,tipo_titularidad,direccion_completa,municipio_nombre,direccion_via_codigo,direccion_via_nombre,direccion_portal_numero,direccion_codigo_postal,direccion_coordenada_x,direccion_coordenada_y,codigo_dea
Establecimiento dependiente de una Administración Pública,Pública,"Leganés, Calle, del Maestro, 14, 28914",Leganés,Calle,del Maestro,14,28914,436760,4464542,"2020-403"
"Instalación, centro o complejo deportivo con más de 500 usuarios diarios",Privada,"Leganés, Calle, del Maestro, 4, 28914",Leganés,Calle,del Maestro,4,28914,435572,4464248,"2023-709"
"Instalación, centro o complejo deportivo con más de 500 usuarios diarios",Pública,"Leganés, Calle, del Maestro, 6, 28914",Leganés,Calle,del Maestro,6,28914,435708,4464198,"2024-41"
Otros,Privada,"Leganés, Calle, Palier, 20, 28914",Leganés,Calle,Palier,20,28914,435227,4463170,"2024-849"
Grandes establecimientos comerciales con una superficie superior a 2500 m2,Privada,"Pozuelo de Alarcón, Ctra, Boadilla-La Paz (M-513), 1, 28224",Pozuelo de Alarcón,Ctra,Boadilla-La Paz (M-513),1,28224,433494,4472257,"2024-563"
Centro de trabajo con más de 250 trabajadores,Privada,"Pozuelo de Alarcón, Cmno, Cerro de los Gamos, 1, 28224",Pozuelo de Alarcón,Cmno,Cerro de los Gamos,1,28224,431310,4479330,"2018-81"
Centro de trabajo con más de 250 trabajadores,Privada,"Pozuelo de Alarcón, Cmno, Cerro de los Gamos, 1, 28224",Pozuelo de Alarcón,Cmno,Cerro de los Gamos,1,28224,431307,4479399,"2018-1788"
Grandes establecimientos comerciales con una superficie superior a 2500 m2,Privada,"Pozuelo de Alarcón, Cmno, Cerro de los Gamos, S/N, 28224",Pozuelo de Alarcón,Cmno,Cerro de los Gamos,S/N,28224,431514,4479441,"2018-2674"
Centro de trabajo con más de 250 trabajadores,Privada,"Pozuelo de Alarcón, Cmno, Cerro de los Gamos, 3, 28224",Pozuelo de Alarcón,Cmno,Cerro de los Gamos,3,28224,431320,4479503,"2019-2600"
Centro de trabajo con más de 250 trabajadores,Privada,"Pozuelo de Alarcón, Cmno, Cerro de los Gamos, 1, 28224",Pozuelo de Alarcón,Cmno,Cerro de los Gamos,1,28224,431313,4479326,"2020-768"
Centro de trabajo con más de 250 trabajadores,Privada,"Pozuelo de Alarcón, Cmno, Cerro de los Gamos, 1, 28224",Pozuelo de Alarcón,Cmno,Cerro de los Gamos,1,28224,431313,4479326,"2020-769"
Centro de trabajo con más de 250 trabajadores,Privada,"Pozuelo de Alarcón, Cmno, Cerro de los Gamos, 1, 28224",Pozuelo de Alarcón,Cmno,Cerro de los Gamos,1,28224,431313,4479326,"2020-767"
Otros,Privada,"Pozuelo de Alarcón, Cmno, Cerro de los Gamos, 1, 28224",Pozuelo de Alarcón,Cmno,Cerro de los Gamos,1,28224,431311,4479328,"2021-86"
Instalaciones de transporte,Pública,"Pozuelo de Alarcón, Plaza, Estación, 0, 28224",Pozuelo de Alarcón,Plaza,Estación,0,28224,432153,4477723,"2019-2869"
"Instalación, centro o complejo deportivo con más de 500 usuarios diarios",Privada,"Madrid, Calle, de Bahía de Málaga, 5, 28042",Madrid,Calle,de Bahía de Málaga,5,28042,449523,4479803,"2019-461"
Centro de trabajo con más de 250 trabajadores,Privada,"Madrid, Calle, de Bahía de Pollensa, 25, 28042",Madrid,Calle,de Bahía de Pollensa,25,28042,449826,4479527,"2023-427"
Otros,Privada,"Madrid, Calle, de Bahía de Pollensa, 5, 28042",Madrid,Calle,de Bahía de Pollensa,5,28042,449708,4479531,"2024-748"
Otros,Privada,"Getafe, Senda, de Zipi y Zape, 2, 28905",Getafe,Senda,de Zipi y Zape,2,28905,436742,4460239,"2022-1127"
Centros residenciales de mayores con 200 plazas,Privada,"Getafe, Avda, de las Arcas del Agua, 15, 28905",Getafe,Avda,de las Arcas del Agua,15,28905,436501,4460226,"2018-2731"
Establecimiento dependiente de una Administración Pública,Pública,"Getafe, Avda, de las Arcas del Agua, 2, 28905",Getafe,Avda,de las Arcas del Agua,2,28905,436562,4460635,"2019-2422"
Establecimiento dependiente de una Administración Pública,Pública,"Getafe, Avda, de las Arcas del Agua, 2, 28905",Getafe,Avda,de las Arcas del Agua,2,28905,436636,4460630,"2019-774"
Instalaciones de transporte,Pública,"Getafe, Avda, de las Arcas del Agua, 9, 28905",Getafe,Avda,de las Arcas del Agua,9,28905,436577,4460595,"2021-214"
Otros,Privada,"Getafe, Avda, de las Arcas del Agua, 15, 28905",Getafe,Avda,de las Arcas del Agua,15,28905,436502,4460223,"2022-1458"
Centro educativo,Privada,"Getafe, Calle, del Hospital de San José, 28, 28901",Getafe,Calle,del Hospital de San José,28,28901,438108,4461916,"2019-248"
"Instalación, centro o complejo deportivo con más de 500 usuarios diarios",Privada,"Madrid, Avda, de la Virgen del Carmen, 35, 28033",Madrid,Avda,de la Virgen del Carmen,35,28033,444835,4480706,"2022-977"
Otros,Privada,"Madrid, Calle, del Vizconde de Matamala, 11, 28028",Madrid,Calle,del Vizconde de Matamala,11,28028,443693,4475282,"2024-149"
Establecimiento dependiente de una Administración Pública,Pública,"Leganés, Calle, Pedro Patiño, 4, 28914",Leganés,Calle,Pedro Patiño,4,28914,435785,4464349,"2018-794"
Centro educativo,Pública,"Leganés, Calle, Río Gallego, 9, 28913",Leganés,Calle,Río Gallego,9,28913,434788,4465062,"2024-44"
Otros,Privada,"Leganés, Calle, de Severo Ochoa, 13, 28914",Leganés,Calle,de Severo Ochoa,13,28914,436119,4463711,"2021-55"
Otros,Privada,"Leganés, Calle, de Severo Ochoa, 13, 28914",Leganés,Calle,de Severo Ochoa,13,28914,436136,4463761,"2021-56"
Otros,Privada,"Pozuelo de Alarcón, Ctra, de las Dos Castillas, 33, 28223",Pozuelo de Alarcón,Ctra,de las Dos Castillas,33,28223,433248,4476921,"2019-883"
Centro de trabajo con más de 250 trabajadores,Privada,"Pozuelo de Alarcón, Ctra, de las Dos Castillas, 33, 28223",Pozuelo de Alarcón,Ctra,de las Dos Castillas,33,28223,433320,4476953,"2020-771"
Centro de trabajo con más de 250 trabajadores,Privada,"Pozuelo de Alarcón, Ctra, de las Dos Castillas, 33, 28223",Pozuelo de Alarcón,Ctra,de las Dos Castillas,33,28223,433320,4476953,"2020-770"
Establecimiento dependiente de una Administración Pública,Pública,"Pozuelo de Alarcón, Ctra, de las Dos Castillas, 33, 28223",Pozuelo de Alarcón,Ctra,de las Dos Castillas,33,28223,433322,4476955,"2021-537"
Establecimiento dependiente de una Administración Pública,Pública,"Pozuelo de Alarcón, Ctra, de las Dos Castillas, 33, 28223",Pozuelo de Alarcón,Ctra,de las Dos Castillas,33,28223,433322,4476955,"2021-538"
"Instalación, centro o complejo deportivo con más de 500 usuarios diarios",Privada,"Pozuelo de Alarcón, Ctra, de las Dos Castillas, 33, 28224",Pozuelo de Alarcón,Ctra,de las Dos Castillas,33,28224,433321,4476956,"2022-1187"
Otros,Privada,"Pozuelo de Alarcón, Avda, Europa, 26, 28224",Pozuelo de Alarcón,Avda,Europa,26,28224,433465,4477040,"2017-216"
Centro de trabajo con más de 250 trabajadores,Privada,"Pozuelo de Alarcón, Avda, Europa, 19, 28224",Pozuelo de Alarcón,Avda,Europa,19,28224,433203,4477032,"2020-763"
Centro de trabajo con más de 250 trabajadores,Privada,"Pozuelo de Alarcón, Avda, Europa, 19, 28224",Pozuelo de Alarcón,Avda,Europa,19,28224,433203,4477032,"2020-764"
Centro de trabajo con más de 250 trabajadores,Privada,"Pozuelo de Alarcón, Avda, Europa, 19, 28224",Pozuelo de Alarcón,Avda,Europa,19,28224,433203,4477032,"2020-762"
Centro de trabajo con más de 250 trabajadores,Privada,"Pozuelo de Alarcón, Avda, Europa, 26, 28224",Pozuelo de Alarcón,Avda,Europa,26,28224,433471,4477043,"2020-799"
Centro de trabajo con más de 250 trabajadores,Privada,"Pozuelo de Alarcón, Avda, Europa, 19, 28224",Pozuelo de Alarcón,Avda,Europa,19,28224,433203,4477032,"2020-766"
Centro de trabajo con más de 250 trabajadores,Privada,"Pozuelo de Alarcón, Avda, Europa, 26, 28224",Pozuelo de Alarcón,Avda,Europa,26,28224,433437,4477057,"2024-646"
Establecimiento dependiente de una Administración Pública,Pública,"Pozuelo de Alarcón, Calle, Irlanda, 3, 28224",Pozuelo de Alarcón,Calle,Irlanda,3,28224,433296,4477279,"2018-362"
Establecimiento dependiente de una Administración Pública,Pública,"Parla, Calle, Severo Ochoa, 7, 28981",Parla,Calle,Severo Ochoa,7,28981,434292,4454249,"2023-735"
Centro educativo,Privada,"Madrid, Ronda, de Sobradiel, 31, 28043",Madrid,Ronda,de Sobradiel,31,28043,445828,4478192,"2018-2631"
Centro educativo,Privada,"Madrid, Ronda, de Sobradiel, 80, 28043",Madrid,Ronda,de Sobradiel,80,28043,445172,4478296,"2018-2621"
Centro educativo,Privada,"Madrid, Ronda, de Sobradiel, 33, 28043",Madrid,Ronda,de Sobradiel,33,28043,445858,4478203,"2021-729"
Establecimiento dependiente de una Administración Pública,Pública,"Madrid, Ronda, Sur, 4, 28053",Madrid,Ronda,Sur,4,28053,443016,4469949,"2022-250"
Centro educativo,Privada,"Madrid, Ronda, Sur, 241, 28053",Madrid,Ronda,Sur,241,28053,443889,4469693,"2023-905"
Centro educativo,Privada,"Madrid, Ronda, Sur, 239, 28053",Madrid,Ronda,Sur,239,28053,443893,4469669,"2023-906"
Establecimiento dependiente de una Administración Pública,Pública,"Madrid, Ronda, Sur, 143, 28053",Madrid,Ronda,Sur,143,28053,442932,4469859,"2024-215"
Centro de trabajo con más de 250 trabajadores,Privada,"Madrid, Avda, de los Toreros, 3, 28028",Madrid,Avda,de los Toreros,3,28028,443054,4475919,"2019-2832"
Centro de trabajo con más de 250 trabajadores,Privada,"Madrid, Avda, de los Toreros, 3, 28028",Madrid,Avda,de los Toreros,3,28028,443054,4475919,"2019-2846"
Centro educativo,Privada,"Madrid, Avda, de los Toreros, 45, 28028",Madrid,Avda,de los Toreros,45,28028,443544,4476236,"2023-565"
Centro educativo,Privada,"Madrid, Calle, Vieja de Pinto, 15, 28021",Madrid,Calle,Vieja de Pinto,15,28021,439814,4466564,"2018-2447"
Otros,Privada,"Velilla de San Antonio, Cmno, del Sotillo, 0, 28891",Velilla de San Antonio,Cmno,del Sotillo,0,28891,457712,4469387,"2024-294"
Otros,Privada,"Velilla de San Antonio, Cmno, Río, 8, 28891",Velilla de San Antonio,Cmno,Río,8,28891,458400,4468384,"2020-793"
Otros,Privada,"Campo Real, Calle, Aluminio, 11, 28510",Campo Real,Calle,Aluminio,11,28510,468166,4464377,"2018-931"
Centro educativo,Pública,"Parla, Avda, de América, 49, 28981",Parla,Avda,de América,49,28981,434469,4453136,"2018-939"
Otros,Privada,"Parla, Avda, de América, 0, 28983",Parla,Avda,de América,0,28983,435328,4453740,"2019-2896"
"Instalación, centro o complejo deportivo con más de 500 usuarios diarios",Privada,"Parla, Avda, de América, S/N, 28963",Parla,Avda,de América,S/N,28963,435370,4453909,"2023-401"
Centro educativo,Pública,"Parla, Paseo, de la República Dominicana, 11, 28983",Parla,Paseo,de la República Dominicana,11,28983,436043,4453805,"2018-719"
Establecimiento dependiente de una Administración Pública,Pública,"Parla, Paseo, de la República Dominicana, 9, 28983",Parla,Paseo,de la República Dominicana,9,28983,436018,4453885,"2023-734"
Otros,Pública,"Parla, Cmno, de la Cantueña, 12, 28981",Parla,Cmno,de la Cantueña,12,28981,435286,4455486,"2018-206"
Otros,Pública,"Parla, Cmno, de la Cantueña, 12, 28981",Parla,Cmno,de la Cantueña,12,28981,435286,4455486,"2018-207"
Centro educativo,Privada,"Valdeolmos-Alalpardo, Calle, de Alcalá (Alalpardo), 23, 28130",Valdeolmos-Alalpardo,Calle,de Alcalá (Alalpardo),23,28130,460013,4497455,"2017-317"
Establecimiento dependiente de una Administración Pública,Pública,"Valdeolmos-Alalpardo, Calle, de Alcalá (Alalpardo), 4, 28130",Valdeolmos-Alalpardo,Calle,de Alcalá (Alalpardo),4,28130,459835,4497658,"2018-544"
Establecimiento dependiente de una Administración Pública,Pública,"Valdeolmos-Alalpardo, Calle, de Alcalá (Alalpardo), 25, 28130",Valdeolmos-Alalpardo,Calle,de Alcalá (Alalpardo),25,28130,460066,4497363,"2018-545"
Establecimiento dependiente de una Administración Pública,Pública,"Valdeolmos-Alalpardo, Calle, de Alcalá (Alalpardo), 4, 28130",Valdeolmos-Alalpardo,Calle,de Alcalá (Alalpardo),4,28130,459836,4497653,"2022-53"
Centro educativo,Privada,"Madrid, Paseo, Bajo de la Virgen del Puerto, 3, 28005",Madrid,Paseo,Bajo de la Virgen del Puerto,3,28005,438738,4473777,"2022-205"
Centro educativo,Privada,"Madrid, Calle, de Alberto Aguilera, 23, 28015",Madrid,Calle,de Alberto Aguilera,23,28015,439664,4475702,"2020-871"
Centro educativo,Privada,"Madrid, Calle, de Alberto Aguilera, 25, 28015",Madrid,Calle,de Alberto Aguilera,25,28015,439561,4475737,"2020-873"
Centro educativo,Privada,"Madrid, Calle, de Alberto Aguilera, 32, 28015",Madrid,Calle,de Alberto Aguilera,32,28015,439670,4475750,"2020-874"
Centro educativo,Privada,"Madrid, Calle, de Alberto Aguilera, 23, 28015",Madrid,Calle,de Alberto Aguilera,23,28015,439664,4475702,"2020-870"
Centro educativo,Privada,"Madrid, Calle, de Alberto Aguilera, 25, 28015",Madrid,Calle,de Alberto Aguilera,25,28015,439561,4475737,"2020-872"
"Instalación, centro o complejo deportivo con más de 500 usuarios diarios",Privada,"Madrid, Calle, de Alberto Aguilera, 1, 28015",Madrid,Calle,de Alberto Aguilera,1,28015,440043,4475664,"2022-932"
Otros,Privada,"Madrid, Calle, de Alberto Aguilera, 10, 28015",Madrid,Calle,de Alberto Aguilera,10,28015,440017,4475722,"2023-479"
Establecimiento dependiente de una Administración Pública,Pública,"Madrid, Calle, del Alcalde Garrido Juaristi, 17, 28030",Madrid,Calle,del Alcalde Garrido Juaristi,17,28030,444355,4473954,"2022-261"
Otros,Privada,"Madrid, Calle, del Alcalde Garrido Juaristi, 17, 28030",Madrid,Calle,del Alcalde Garrido Juaristi,17,28030,444515,4474013,"2024-209"
Centro educativo,Privada,"Madrid, Calle, de Alenza, 28, 28003",Madrid,Calle,de Alenza,28,28003,440601,4477465,"2019-339"
"Instalación, centro o complejo deportivo con más de 500 usuarios diarios",Pública,"Villanueva del Pardillo, Avda, de los Estudiantes, 2, 28229",Villanueva del Pardillo,Avda,de los Estudiantes,2,28229,417595,4481796,"2021-634"
"Instalación, centro o complejo deportivo con más de 500 usuarios diarios",Pública,"Villanueva del Pardillo, Avda, de los Estudiantes, 3, 28229",Villanueva del Pardillo,Avda,de los Estudiantes,3,28229,417596,4481796,"2021-625"
Centro educativo,Pública,"Villanueva del Pardillo, Calle, Río Ebro, 2, 28229",Villanueva del Pardillo,Calle,Río Ebro,2,28229,418132,4483554,"2021-626"
