codigo_dea,tipo_establecimiento,tipo_titularidad,direccion_completa,direccion_via_codigo,direccion_via_nombre,direccion_portal_numero,direccion_codigo_postal,municipio_nombre,direccion_coordenada_x,direccion_coordenada_y
2018-2091,Centro educativo,Privada,Calle de Maldonado 48 28006 Madrid,Calle,de Maldonado,48,28006,Madrid,442644,4476084.0
2023-287,Otros,Privada,Calle de Maldonado 64 28006 Madrid,Calle,de Maldonado,64,28006,Madrid,442849,4476070.0
2017-150,Otros,Privada,Avda de Manoteras 24 28050 Madrid,Avda,de Manoteras,24,28050,Madrid,443487,4481977.0
2017-168,Otros,Privada,Avda de Manoteras 24 28050 Madrid,Avda,de Manoteras,24,28050,Madrid,443487,4481977.0
2018-85,Otros,Privada,Avda de Manoteras 32 28050 Madrid,Avda,de Manoteras,32,28050,Madrid,443590,4482121.0
2017-430,Centro de trabajo con más de 250 trabajadores,Privada,Avda de Manoteras 52 28050 Madrid,Avda,de Manoteras,52,28050,Madrid,443910,4480048.0
2017-431,Centro de trabajo con más de 250 trabajadores,Privada,Avda de Manoteras 52 28050 Madrid,Avda,de Manoteras,52,28050,Madrid,443910,4482048.0
2018-1730,Otros,Privada,Avda de Manoteras 48 28050 Madrid,Avda,de Manoteras,48,28050,Madrid,443810,4482060.0
2018-1733,Otros,Privada,Avda de Manoteras 48 28050 Madrid,Avda,de Manoteras,48,28050,Madrid,443810,4482060.0
2018-2032,Otros,Privada,Avda de Manoteras 40 28050 Madrid,Avda,de Manoteras,40,28050,Madrid,443578,4481944.0
2019-429,Otros,Privada,Avda de Manoteras 46 28050 Madrid,Avda,de Manoteras,46,28050,Madrid,443463,4482153.0
2020-572,Establecimiento público con aforo igual o superior a 2000 personas,Privada,Avda de Manoteras 40 28050 Madrid,Avda,de Manoteras,40,28050,Madrid,443577,4481944.0
2019-103,Centro de trabajo con más de 250 trabajadores,Privada,Avda de Manoteras 32 28050 Madrid,Avda,de Manoteras,32,28050,Madrid,443590,4482121.0
2018-1976,Centro de trabajo con más de 250 trabajadores,Privada,Avda de Manoteras 46 28050 Madrid,Avda,de Manoteras,46,28050,Madrid,443764,4482065.0
2020-650,Otros,Pública,Avda de Manoteras 54 28050 Madrid,Avda,de Manoteras,54,28050,Madrid,444046,4481994.0
2021-317,Centro de trabajo con más de 250 trabajadores,Privada,Avda de Manoteras 12 28050 Madrid,Avda,de Manoteras,12,28050,Madrid,443225,4482171.0
2021-887,Otros,Privada,Avda de Manoteras 20 28050 Madrid,Avda,de Manoteras,20,28050,Madrid,443293,4482143.0
2022-3,Otros,Privada,Avda de Manoteras 20 28050 Madrid,Avda,de Manoteras,20,28050,Madrid,443298,4482140.0
2021-936,Centro de trabajo con más de 250 trabajadores,Privada,Avda de Manoteras 46 28050 Madrid,Avda,de Manoteras,46,28050,Madrid,443726,4482087.0
2021-526,Centro de trabajo con más de 250 trabajadores,Pública,Avda de Manoteras 50 28050 Madrid,Avda,de Manoteras,50,28050,Madrid,443887,4482051.0
2021-937,Centro de trabajo con más de 250 trabajadores,Privada,Avda de Manoteras 46 28050 Madrid,Avda,de Manoteras,46,28050,Madrid,443726,4482087.0
2022-1415,Otros,Privada,Avda de Manoteras 22 28050 Madrid,Avda,de Manoteras,22,28050,Madrid,443405,4482135.0
2023-387,Otros,Privada,Avda de Manoteras 12 28050 Madrid,Avda,de Manoteras,12,28050,Madrid,443227,4482171.0
2023-386,Otros,Privada,Avda de Manoteras 12 28050 Madrid,Avda,de Manoteras,12,28050,Madrid,443227,4482171.0
2023-670,Otros,Privada,Avda de Manoteras 18 28050 Madrid,Avda,de Manoteras,18,28050,Madrid,443274,4482032.0
2023-584,Otros,Privada,Avda de Manoteras 50 28050 Madrid,Avda,de Manoteras,50,28050,Madrid,443883,4482054.0
2023-924,Otros,Privada,Avda de Manoteras 42 28050 Madrid,Avda,de Manoteras,42,28050,Madrid,443648,4481990.0
2023-585,Otros,Privada,Avda de Manoteras 50 28050 Madrid,Avda,de Manoteras,50,28050,Madrid,443883,4482054.0
2018-1014,Establecimiento dependiente de una Administración Pública,Pública,Avda de Manoteras 1 28050 Madrid,Avda,de Manoteras,1,28050,Madrid,443095,4482268.0
2024-219,Otros,Privada,Avda de Manoteras 44 28050 Madrid,Avda,de Manoteras,44,28050,Madrid,443665,4482052.0
2024-257,Otros,Privada,Avda de Manoteras 32 28050 Madrid,Avda,de Manoteras,32,28050,Madrid,443592,4482122.0
2020-248,Otros,Privada,Calle de Manresa 1 28034 Madrid,Calle,de Manresa,1,28034,Madrid,441492,4482546.0
2024-18,Instalaciones de transporte,Pública,"Avda Bomberos 0 28232 Rozas de Madrid, Las",Avda,Bomberos,0,28232,"Rozas de Madrid, Las",425263,4486098.0
2019-271,Establecimiento dependiente de una Administración Pública,Pública,"Avda Camino del Caño 2 28231 Rozas de Madrid, Las",Avda,Camino del Caño,2,28231,"Rozas de Madrid, Las",425657,4483113.0
2018-222,Otros,Pública,"Ctra de la Coruña 21.8 28232 Rozas de Madrid, Las",Ctra,de la Coruña,21.8,28232,"Rozas de Madrid, Las",425080,4485924.0
2018-220,Otros,Pública,"Ctra de la Coruña 21.8 28232 Rozas de Madrid, Las",Ctra,de la Coruña,21.8,28232,"Rozas de Madrid, Las",425080,4485924.0
2018-221,Otros,Pública,"Ctra de la Coruña 21.8 28232 Rozas de Madrid, Las",Ctra,de la Coruña,21.8,28232,"Rozas de Madrid, Las",425080,4485924.0
2018-214,Otros,Pública,"Ctra de la Coruña 21.8 28230 Rozas de Madrid, Las",Ctra,de la Coruña,21.8,28230,"Rozas de Madrid, Las",425080,4485924.0
2018-216,Otros,Pública,"Ctra de la Coruña 21.8 28230 Rozas de Madrid, Las",Ctra,de la Coruña,21.8,28230,"Rozas de Madrid, Las",425080,4485924.0
2018-217,Otros,Pública,"Ctra de la Coruña 21.8 28232 Rozas de Madrid, Las",Ctra,de la Coruña,21.8,28232,"Rozas de Madrid, Las",425080,4485924.0
2018-218,Otros,Pública,"Ctra de la Coruña 21.8 28232 Rozas de Madrid, Las",Ctra,de la Coruña,21.8,28232,"Rozas de Madrid, Las",425080,4455924.0
2018-213,Otros,Pública,"Ctra de la Coruña 21.8 28232 Rozas de Madrid, Las",Ctra,de la Coruña,21.8,28232,"Rozas de Madrid, Las",425080,4485924.0
2018-215,Otros,Pública,"Ctra de la Coruña 21.8 28230 Rozas de Madrid, Las",Ctra,de la Coruña,21.8,28230,"Rozas de Madrid, Las",425080,4485924.0
2018-198,Otros,Pública,"Ctra de la Coruña 21.8 28230 Rozas de Madrid, Las",Ctra,de la Coruña,21.8,28230,"Rozas de Madrid, Las",425080,4485924.0
2018-199,Otros,Pública,"Ctra de la Coruña 21.8 28230 Rozas de Madrid, Las",Ctra,de la Coruña,21.8,28230,"Rozas de Madrid, Las",425080,4485924.0
2019-88,Otros,Privada,"Ctra de la Coruña 0 28230 Rozas de Madrid, Las",Ctra,de la Coruña,0,28230,"Rozas de Madrid, Las",424771,4485649.0
2019-2850,Instalaciones de transporte,Pública,"Ctra de la Coruña 0 28231 Rozas de Madrid, Las",Ctra,de la Coruña,0,28231,"Rozas de Madrid, Las",426445,4482984.0
