tipo_establecimiento;tipo_titularidad;municipio_codigo;municipio_nombre;direccion_via_codigo;direccion_via_nombre;direccion_portal_numero;direccion_piso;direccion_puerta;direccion_codigo_postal;direccion_ubicacion;direccion_coordenada_x;direccion_coordenada_y;direccion_longitud;direccion_latitud;horario_acceso;codigo_dea
Otros;Privada;079;Madrid;CALLE;de María de Molina;54;7;;28006;PASILLO A LA SALA DE JUNTAS, JUNTO HALL DE RECEPCIÓN. ;442335;4476518;-3,67990754166897;40,4373089576133;8-20 H;2018-1621
Centro educativo;Privada;079;Madrid;CALLE;de María de Molina;41;;;28006;"EN LA SALA ""JUAN RAMÓN JIMÉNEZ"" EF SERVICIOS DE SOPORTE";442450;4476532;-3,67855297575544;40,4374430426352;8-17.30;2018-2459
Otros;Privada;079;Madrid;CALLE;de María de Molina;37;6;;28006;;442287;4476573;-3,68047845021096;40,4378010944471;;2018-3016
Centro de trabajo con más de 250 trabajadores;Privada;079;Madrid;CALLE;de María de Molina;40;2ª;;28006;SEGUNDA PLANTA JUNTO RECEPCION MERCK SLU;442100;4476534;-3,6826796149452;40,4374367650673;HORARIO DE OFICINA;2020-868
Centro de trabajo con más de 250 trabajadores;Privada;079;Madrid;CALLE;de María de Molina;4;Baja;;28006;INFINORSA GESTIÓN INMOBILIARIA Y FINANCIERA SA ;441571;4476567;-3,68891948641097;40,4376970455011;;2021-745
Centro de trabajo con más de 250 trabajadores;Privada;079;Madrid;CALLE;de María de Molina;6;Baja;;28006;INFINORSA GESTIÓN INMOBILIARIA Y FINANCIERA ;441610;4476565;-3,68845949637737;40,4376817677947;;2021-746
Centro de trabajo con más de 250 trabajadores;Privada;079;Madrid;CALLE;de María de Molina;40;;;28006;Seguridad HERMANOS REVILLA S.A.;442099;4476535;-3,68269149593952;40,4374457039223;;2023-516
Otros;Privada;079;Madrid;CALLE;de María de Molina;4;2;;28006;JUNTO A MAQUINA DE CAFE ;441570;4476572;-3,6889317360896;40,4377420175742;L-V 9-19;2024-516
Otros;Privada;079;Madrid;CALLE;de María de Molina;46;;;28006;UBICADO EN EL PASILLO ;442159;4476532;-3,68198383031495;40,4374228537928;DE LUNES A VIERNES DE 10 A 20.30H;2024-853
Instalaciones de transporte;Pública;079;Madrid;PLAZA;de la República Argentina;8;;;28002;DENTRO DE LA ESTACION DE REPUBLICA ARGENTINA, EN VESTIBULO ;441920;4477382;-3,68487931598061;40,4450633950856;;2018-3072
Otros;Privada;079;Madrid;PLAZA;de la República Argentina;6;;;28002;Hall de entrada primera planta edificio , zona recepción ;441899;4477458;-3,68513388308929;40,4457465708989;10-22;2021-470
Establecimiento dependiente de una Administración Pública;Pública;079;Madrid;PASEO;de la República de Cuba;;;;28009;PALACIO DE CRISTAL ;441975;4474023;-3,68392418303846;40,4148077239695;;2018-2263
Centro educativo;Privada;079;Madrid;CALLE;de Repullés y Vargas;11;;;28011;hall COLEGIO SAN MIGUEL ARCÁNGEL;437714;4473503;-3,73409269590694;40,409815371906;;2018-2123
Otros;Privada;079;Madrid;CALLE;de la Resina;5;;;28021;;440951;4465087;-3,69516515325607;40,3342352736642;24 HORAS;2018-3169
Instalaciones de transporte;Pública;079;Madrid;CALLE;del Retablo de Melisendra;1;;;28034;DENTRO DE LA ESTACION DE METRO TRES OLIVOS, EN EL VESTIBULO ;441541;4479815;-3,68957222078053;40,4669543600368;;2018-3077
Instalaciones de transporte;Pública;079;Madrid;CALLE;del Retablo de Melisendra;0;;;28034;DENTRO DEL DEPOSITO DE METRO DE FUENCARRAL, NAVE DE MANTENIMIENTO DE TRENES. METRO DE MADRID;441180;4483777;-3,69419784260954;40,5026200941897;;2021-285
Otros;Privada;079;Madrid;CALLE;de la Retama;7;;;28045;EN EL HALL DE LA ENTRADA HERMANDAD NACIONAL DE ARQUITECTOS SUPERIORES Y QUÍMICOS;442622;4471678;-3,67608728639167;40,3937275470546;24 H;2018-78
Centro de trabajo con más de 250 trabajadores;Privada;079;Madrid;CALLE;de la Retama;8;;;28045;C.C. EL CORTE INGLES MENDEZ ALVARO PLANTA BAJ A JUNTO ACCESO DE CLIENTES;442633;4471757;-3,67596479822684;40,3944399809562;24 H;2019-930
Centro de trabajo con más de 250 trabajadores;Privada;079;Madrid;CALLE;de la Retama;1;BAJA;;28045;PLANTA BAJA ERICSSON ;442741;4471792;-3,67469544732176;40,3947627124495;;2017-220
Centro de trabajo con más de 250 trabajadores;Privada;079;Madrid;CALLE;de la Retama;1;SEXTA;;28045;PLANTA 6 - ERICSSON ;442741;4471792;-3,67469544732176;40,3947627124495;;2017-221
Centro de trabajo con más de 250 trabajadores;Privada;079;Madrid;CALLE;de la Retama;1;12ª;;28045;PLANTA 12 - ERICSSON ;442741;4471792;-3,67469544732176;40,3947627124495;;2017-222
Otros;Privada;079;Madrid;CALLE;de la Retama;7;4;;28045;Edif. Torre Indocentro ;442611;4471671;-3,67621626045141;40,3936637292774;l-v 7:45 - 18:45;2024-221
Centro de trabajo con más de 250 trabajadores;Privada;079;Madrid;PASEO;del Rey;32;;;28008;RECEPCIÓN PARED IZQUIERDA ;438758;4475154;-3,72194817635566;40,4247657598764;;2024-96
Centro de trabajo con más de 250 trabajadores;Privada;079;Madrid;PASEO;del Rey;30;;;28008;DENTRO DE LA RECEPCIÓN ;438818;4475084;-3,72123418707952;40,4241395845162;;2024-95
Centro educativo;Privada;079;Madrid;CALLE;del Rey Francisco;4;;;28008;PLANTA BAJA UNIVERSIDAD PONTIFICIA COMILLAS;439323;4475512;-3,71532236390672;40,4280321763718;;2020-876
Establecimiento dependiente de una Administración Pública;Pública;079;Madrid;AVDA;de los Reyes Católicos;6;;;28040;VESTIBULO PRINCIPAL ;438767;4476623;-3,72198360520493;40,4379997805353;;2019-2703
Centro de trabajo con más de 250 trabajadores;Privada;079;Madrid;CALLE;de Prim;3;;;28004;once ;440812;4474062;-3,69763480789497;40,4150771602072;08:00 A 20:00 H;2019-407
Establecimiento dependiente de una Administración Pública;Pública;079;Madrid;CALLE;de Prim;10;;;28004;CUERPO DE GUARDIA ;441197;4474787;-3,6931642488483;40,4216356054584;;2021-302
