ID,DISTRITO,COD-BARRIO,COD-DISTRITO,BARRIO,VIA,NUMERO,L-B,PLAZAS
C-150,CENTRO,01-02,01,EMBAJADORES,CALLE  DE LA RIBERA DE CURTIDORES,17,Línea,2
C-151,CENTRO,01-01,01,PALACIO,CALLE  DEL ROSARIO,15,Línea,1
C-152,CENTRO,01-05,01,UNIVERSIDAD,CALLE  DE RUIZ,5,Línea,1
C-153,CENTRO,01-02,01,EMBAJADORES,CALLE  DEL SALITRE,7,Línea,2
C-154,CENTRO,01-02,01,EMBAJADORES,CALLE  DEL SALITRE,31,Línea,1
C-155,CENTRO,01-03,01,CORTES,CALLE  DE SAN AGUSTIN,5,Línea,1
C-156,CENTRO,01-06,01,SOL,CALLE  DE SAN ALBERTO,1,Línea,2
C-157,CENTRO,01-05,01,UNIVERSIDAD,CALLE  DE SAN ANDRES,17,Línea,1
C-158,CENTRO,01-01,01,PALACIO,COSTANILLA  DE SAN ANDRES,10,Línea,1
C-159,CENTRO,01-05,01,UNIVERSIDAD,CALLE  DE SAN BERNARDO,20,Línea,1
C-160,CENTRO,01-05,01,UNIVERSIDAD,CALLE  DE SAN BERNARDO,24,Línea,1
C-161,CENTRO,01-05,01,UNIVERSIDAD,CALLE  DE SAN BERNARDO,36,Línea,1
C-162,CENTRO,01-05,01,UNIVERSIDAD,CALLE  DE SAN BERNARDO,64,Línea,1
C-163,CENTRO,01-05,01,UNIVERSIDAD,CALLE  DE SAN BERNARDO,79,Línea,1
C-164,CENTRO,01-01,01,PALACIO,CALLE  DE SAN BUENAVENTURA,2,Línea,1
C-165,CENTRO,01-01,01,PALACIO,CALLE  DE SAN BUENAVENTURA,14,Línea,1
C-166,CENTRO,01-02,01,EMBAJADORES,CALLE  DE SAN CARLOS,1,Línea,1
C-167,CENTRO,01-01,01,PALACIO,CARRERA  DE SAN FRANCISCO,16,Línea,1
C-168,CENTRO,01-05,01,UNIVERSIDAD,CALLE  DE SAN HERMENEGILDO,7,Línea,1
C-169,CENTRO,01-05,01,UNIVERSIDAD,CALLE  DE SAN HERMENEGILDO,21,Línea,2
C-170,CENTRO,01-02,01,EMBAJADORES,CALLE  DE SAN ILDEFONSO,7,Línea,2
C-171,CENTRO,01-01,01,PALACIO,CALLE  DE SAN JUSTO,1,Línea,1
C-172,CENTRO,01-05,01,UNIVERSIDAD,CALLE  DE SAN LEONARDO,8,Línea,1
C-173,CENTRO,01-04,01,JUSTICIA,CALLE  DE SAN LORENZO,20,Línea,1
C-174,CENTRO,01-04,01,JUSTICIA,CALLE  DE SAN MARCOS,43,Línea,1
C-175,CENTRO,01-04,01,JUSTICIA,TRAVESIA  DE SAN MATEO,4,Línea,1
C-176,CENTRO,01-01,01,PALACIO,COSTANILLA  DE SAN PEDRO,6,Línea,1
C-177,CENTRO,01-05,01,UNIVERSIDAD,COSTANILLA  DE SAN VICENTE,8,Línea,1
C-178,CENTRO,01-04,01,JUSTICIA,CALLE  DE SANTA BRIGIDA,10,Línea,1
C-179,CENTRO,01-05,01,UNIVERSIDAD,CALLE  DE SANTA CRUZ DE MARCENADO,2,Línea,1
C-180,CENTRO,01-05,01,UNIVERSIDAD,CALLE  DE SANTA CRUZ DE MARCENADO,13,Línea,2
C-181,CENTRO,01-05,01,UNIVERSIDAD,CALLE  DE SANTA CRUZ DE MARCENADO,17,Línea,1
C-182,CENTRO,01-02,01,EMBAJADORES,CALLE  DE SANTA ISABEL,7,Línea,2
C-183,CENTRO,01-02,01,EMBAJADORES,CALLE  DE SANTA ISABEL,42,Línea,1
C-184,CENTRO,01-02,01,EMBAJADORES,CALLE  DE SANTA ISABEL,47,Batería,1
C-185,CENTRO,01-02,01,EMBAJADORES,CALLE  DE SANTA ISABEL,50,Batería,1
C-186,CENTRO,01-04,01,JUSTICIA,CALLE  DE SANTA TERESA,2,Línea,1
C-187,CENTRO,01-04,01,JUSTICIA,CALLE  DE SANTA TERESA,7,Línea,1
C-188,CENTRO,01-01,01,PALACIO,PLAZA  DE SANTO DOMINGO,11,Línea,1
C-189,CENTRO,01-01,01,PALACIO,PLAZA  DE SANTO DOMINGO,14,Línea,1
C-190,CENTRO,01-04,01,JUSTICIA,CALLE  DE SANTO TOME,7,Línea,1
C-191,CENTRO,01-01,01,PALACIO,CALLE  DE SEGOVIA,24,Línea,1
C-192,CENTRO,01-01,01,PALACIO,CALLE  DE SEGOVIA,29,Línea,1
C-193,CENTRO,01-01,01,PALACIO,RONDA  DE SEGOVIA,15,Línea,1
C-194,CENTRO,01-01,01,PALACIO,RONDA  DE SEGOVIA,47,Línea,1
C-195,CENTRO,01-01,01,PALACIO,RONDA  DE SEGOVIA,55,Línea,1
C-196,CENTRO,01-01,01,PALACIO,RONDA  DE SEGOVIA,85,Línea,1
C-197,CENTRO,01-04,01,JUSTICIA,CALLE  DE SERRANO ANGUITA,10,Línea,1
C-198,CENTRO,01-04,01,JUSTICIA,CALLE  DE SERRANO ANGUITA,18,Línea,1
C-199,CENTRO,01-05,01,UNIVERSIDAD,CALLE  DE SERRANO JOVER,4 E,Línea,1
C-200,CENTRO,01-01,01,PALACIO,CALLE  DE LA SIERPE,4,Línea,1
C-201,CENTRO,01-01,01,PALACIO,CALLE  DE SILVA,6 A,Línea,1
C-202,CENTRO,01-02,01,EMBAJADORES,CALLE  DE LA SOMBRERERIA,24,Línea,1
C-203,CENTRO,01-02,01,EMBAJADORES,CALLE  DE LA SOMBRERERIA,14 A,Línea,1
C-204,CENTRO,01-05,01,UNIVERSIDAD,CALLE  DEL TESORO,10,Línea,1
C-205,CENTRO,01-02,01,EMBAJADORES,PLAZA  DE TIRSO DE MOLINA,13,Batería,3
C-206,CENTRO,01-02,01,EMBAJADORES,CALLE  DE TOLEDO,49,Línea,1
C-207,CENTRO,01-01,01,PALACIO,CALLE  DE TOLEDO,98,Línea,1
C-208,CENTRO,01-02,01,EMBAJADORES,RONDA  DE TOLEDO,5,Línea,2
C-209,CENTRO,01-02,01,EMBAJADORES,RONDA  DE TOLEDO,30,Línea,1
C-210,CENTRO,01-02,01,EMBAJADORES,CALLE  DE LA TORRECILLA DEL LEAL,5,Línea,1
C-211,CENTRO,01-02,01,EMBAJADORES,CALLE  DE LOS TRES PECES,6,Línea,1
C-212,CENTRO,01-02,01,EMBAJADORES,CALLE  DEL TRIBULETE,16,Línea,1
C-213,CENTRO,01-06,01,SOL,CALLE  DE TRUJILLOS,6,Línea,1
C-214,CENTRO,01-02,01,EMBAJADORES,CALLE  DE VALENCIA,14,Línea,1
C-215,CENTRO,01-02,01,EMBAJADORES,CALLE  DE VALENCIA,17,Línea,1
C-216,CENTRO,01-02,01,EMBAJADORES,CALLE  DE VALENCIA,25,Línea,1
C-217,CENTRO,01-06,01,SOL,CALLE  DE LAS VENERAS,1,Línea,1
C-218,CENTRO,01-04,01,JUSTICIA,CALLE  DE VICTOR HUGO,5,Línea,1
C-219,CENTRO,01-01,01,PALACIO,PLAZA  DE LA VIRGEN DE LA PALOMA,4,Línea,1
C-220,ARGANZUELA,02-05,02,DELICIAS,(Sin Asignar),,Batería,1
C-221,ARGANZUELA,02-03,02,CHOPERA,CALLE  DE AGUILON,3,Línea,1
C-222,ARGANZUELA,02-03,02,CHOPERA,CALLE  DE AGUILON,5,Línea,1
C-223,ARGANZUELA,02-03,02,CHOPERA,CALLE  DE AGUILON,13,Batería,1
C-224,ARGANZUELA,02-03,02,CHOPERA,CALLE  DE AGUILON,13,Batería,1
C-225,ARGANZUELA,02-03,02,CHOPERA,CALLE  DE AGUILON,17,Batería,1
C-226,ARGANZUELA,02-03,02,CHOPERA,CALLE  DE AGUILON,,Línea,1
C-227,ARGANZUELA,02-07,02,ATOCHA,CALLE  DE ALAMEDILLA,2,Batería,1
C-228,ARGANZUELA,02-07,02,ATOCHA,CALLE  DE ALAMEDILLA,29,Batería,1
C-229,ARGANZUELA,02-07,02,ATOCHA,CALLE  DE ALAMEDILLA,33,Batería,1
C-230,ARGANZUELA,02-03,02,CHOPERA,CALLE  DE ALDEA DEL FRESNO,11,Línea,1
C-231,ARGANZUELA,02-01,02,IMPERIAL,CALLE  DE ALEJANDRO DUMAS,3,Línea,1
C-232,ARGANZUELA,02-01,02,IMPERIAL,CALLE  DE ALEJANDRO DUMAS,10,Línea,1
C-233,ARGANZUELA,02-05,02,DELICIAS,CALLE  DE ALEJANDRO FERRANT,4,Batería,1
C-234,ARGANZUELA,02-05,02,DELICIAS,CALLE  DE ALEJANDRO FERRANT,5,Línea,2
C-235,ARGANZUELA,02-03,02,CHOPERA,CALLE  DE ALEJANDRO SAINT AUBIN,1,Línea,1
C-236,ARGANZUELA,02-04,02,LEGAZPI,CALLE  DE ALGETE,7,Línea,1
C-237,ARGANZUELA,02-05,02,DELICIAS,CALLE  DE ALICANTE,5,Línea,1
C-238,ARGANZUELA,02-05,02,DELICIAS,CALLE  DE ALICANTE,14,Línea,1
C-239,ARGANZUELA,02-03,02,CHOPERA,CALLE  DE ALONSO CARBONELL,1,Batería,1
C-240,ARGANZUELA,02-06,02,PALOS DE MOGUER,CALLE  DE ALONSO DEL BARCO,4,Línea,1
C-241,ARGANZUELA,02-06,02,PALOS DE MOGUER,CALLE  DE ALONSO DEL BARCO,6,Línea,2
C-242,ARGANZUELA,02-06,02,PALOS DE MOGUER,CALLE  DE ALONSO DEL BARCO,11,Línea,1
C-243,ARGANZUELA,02-07,02,ATOCHA,CALLE  DE ALPEDRETE,1,Batería,1
C-244,ARGANZUELA,02-05,02,DELICIAS,CALLE  DE AMALTEA,1 K,Línea,1
C-245,ARGANZUELA,02-05,02,DELICIAS,CALLE  DE AMALTEA,,Batería,2
C-246,ARGANZUELA,02-06,02,PALOS DE MOGUER,CALLE  DEL ANCORA,8,Línea,1
C-247,ARGANZUELA,02-06,02,PALOS DE MOGUER,CALLE  DEL ANCORA,22,Batería,1
C-248,ARGANZUELA,02-06,02,PALOS DE MOGUER,CALLE  DEL ANCORA,27,Batería,1
C-249,ARGANZUELA,02-06,02,PALOS DE MOGUER,CALLE  DEL ANCORA,32,Batería,1
C-250,ARGANZUELA,02-04,02,LEGAZPI,CALLE  DE LA ANTRACITA,2,Batería,1
C-251,ARGANZUELA,02-04,02,LEGAZPI,CALLE  DE LA ANTRACITA,31,Línea,1
C-252,ARGANZUELA,02-04,02,LEGAZPI,CALLE  DE LA ANTRACITA,33,Línea,1
C-253,ARGANZUELA,02-04,02,LEGAZPI,CALLE  DE LA ANTRACITA,14 D,Batería,1
